                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.72605,                0.60566,                  1.358,                0.86086,                0.91482,                0.98187,                0.77358,                0.82172,                0.59162,                 1.6519,              0.0005825,              0.0005825,              0.0005825
                     48,                0.72574,                0.58762,                 1.3119,                0.93546,                0.94871,                0.98187,                 0.7882,                0.77917,                0.45215,                 1.6067,             0.00055892,             0.00055892,             0.00055892
                     49,                0.73311,                0.58174,                 1.3303,                0.90769,                0.96083,                0.98202,                0.76846,                0.82986,                 0.4592,                 1.6547,             0.00053535,             0.00053535,             0.00053535
                     50,                0.70713,                0.54739,                 1.3258,                0.94699,                0.92496,                0.97928,                0.78463,                0.79002,                0.47537,                 1.6128,             0.00051177,             0.00051177,             0.00051177
                     51,                0.74642,                0.53832,                 1.3473,                0.95708,                0.92968,                0.97934,                0.78734,                 0.7844,                0.44797,                 1.6189,             0.00048819,             0.00048819,             0.00048819
                     52,                0.68679,                0.56761,                 1.3133,                0.91814,                0.97908,                0.98248,                 0.7824,                0.77678,                0.42629,                 1.5954,             0.00046462,             0.00046462,             0.00046462
                     53,                 0.7294,                0.57242,                 1.3488,                0.94182,                 0.9486,                0.97966,                0.77807,                 0.8318,                0.44594,                 1.6505,             0.00044104,             0.00044104,             0.00044104
                     54,                 0.7271,                0.55607,                 1.3035,                0.90302,                0.96728,                0.97807,                0.78063,                0.79741,                0.44679,                 1.6166,             0.00041746,             0.00041746,             0.00041746
                     55,                0.68766,                0.53205,                 1.3029,                0.90405,                0.97637,                0.98499,                0.77894,                0.81271,                0.44461,                 1.6435,             0.00039389,             0.00039389,             0.00039389
                     56,                0.70033,                0.52636,                 1.3076,                0.92719,                0.94993,                0.98418,                0.78004,                0.79735,                0.44947,                 1.6194,             0.00037031,             0.00037031,             0.00037031
                     57,                0.69611,                0.52098,                 1.3154,                0.93705,                 0.9813,                0.98527,                0.77065,                0.82497,                0.40807,                 1.6507,             0.00034674,             0.00034674,             0.00034674
                     58,                 0.7122,                0.50192,                 1.3249,                0.96705,                0.92682,                0.98459,                0.77565,                0.80981,                 0.4201,                 1.6322,             0.00032316,             0.00032316,             0.00032316
                     59,                0.71855,                0.51202,                 1.3364,                 0.9387,                0.94652,                0.98153,                0.78633,                0.79436,                0.42374,                 1.6108,             0.00029958,             0.00029958,             0.00029958
                     60,                0.70299,                0.49178,                 1.3033,                0.94271,                0.92585,                0.98159,                0.79407,                0.78375,                0.47318,                 1.5933,             0.00027601,             0.00027601,             0.00027601
                     61,                0.67682,                0.49842,                 1.3001,                0.91916,                0.96156,                0.98382,                0.78798,                0.77736,                0.43729,                 1.5933,             0.00025243,             0.00025243,             0.00025243
                     62,                0.68819,                0.53957,                 1.3142,                0.94596,                 0.9486,                0.98582,                0.80035,                0.75701,                0.40238,                 1.5839,             0.00022886,             0.00022886,             0.00022886
                     63,                0.71508,                0.51535,                  1.322,                0.93462,                  0.953,                0.98507,                0.78996,                0.80271,                0.42572,                 1.6073,             0.00020528,             0.00020528,             0.00020528
                     64,                0.70621,                0.50414,                 1.2972,                0.94099,                0.95164,                0.98329,                0.79108,                 0.7825,                0.41681,                 1.5995,              0.0001817,              0.0001817,              0.0001817
                     65,                0.69896,                0.50617,                 1.3082,                0.94182,                 0.9634,                0.98512,                0.80006,                0.75924,                0.41308,                 1.5772,             0.00015813,             0.00015813,             0.00015813
                     66,                0.67829,                 0.4872,                 1.3093,                 0.9254,                0.98287,                0.98616,                0.79508,                0.77822,                0.40449,                 1.5946,             0.00013455,             0.00013455,             0.00013455
                     67,                0.68923,                0.50869,                 1.3079,                0.96198,                0.95022,                0.98385,                0.79178,                0.78376,                0.41395,                 1.5909,             0.00011097,             0.00011097,             0.00011097
                     68,                0.67763,                0.47445,                 1.2709,                 0.9673,                0.94731,                 0.9839,                0.78861,                 0.7886,                0.42675,                 1.5972,             8.7398e-05,             8.7398e-05,             8.7398e-05
                     69,                0.67137,                0.49091,                 1.3045,                0.94236,                0.95813,                 0.9849,                0.80307,                0.77988,                0.41071,                 1.5888,             6.3822e-05,             6.3822e-05,             6.3822e-05
                     70,                0.67024,                  0.486,                 1.2892,                0.98645,                0.91179,                0.98489,                0.80237,                0.78288,                0.41255,                 1.5951,             4.0246e-05,             4.0246e-05,             4.0246e-05
